name,G3D_Mark_by_price,G3D_Mark,price,t_class,bus_interface,max_memory_size,core,memory,directx,max_tdp,G3DMark_by_price,tested_date,price_changed
GeForce GTX 1650 SUPER,61.5,9834,159.99,Desktop,PCIe 3.0 x16,4096,1530 MHz,12000 MHz,DirectX: 12,100 W,61.47,2019-11-27,$159.99 USD (2020-10-24)
Radeon RX 590,59.2,9474,159.99,Desktop,PCIe 3.0 x16,8192,1545 MHz,2000 MHz,DirectX: 12.0,175 W,59.22,2018-11-27,$159.99 USD (2020-07-31)
Radeon RX 580,58.3,8750,149.99,Desktop,PCIe 3.0 x16,8192,1257 MHz,2000 MHz,DirectX: 12.0,185 W,58.34,2017-04-23,$149.99 USD (2020-10-03)
GeForce GTX 1650,55.7,7798,139.99,Desktop,PCIe 3.0 x16,4096,1485 MHz,800 MHz,DirectX: 12,75 W,55.71,2019-04-27,$139.99 USD (2020-09-21)
GeForce GTX 1660,55.0,11540,209.99,Desktop,PCIe 3.0 x16,6144,1530 MHz,8000 MHz,DirectX: 12,120 W,54.96,2019-03-18,$209.99 USD (2020-10-20)
GeForce GTX 1660 SUPER,52.9,12689,239.99,Desktop,PCIe 3.0 x16,6144,1530 MHz,14000 MHz,DirectX: 12,125 W,52.87,2019-11-02,$239.99 USD (2020-10-23)
Radeon RX 5600 XT,49.9,13465,269.99,Desktop,PCIe 4.0 x16,6144,1130 MHz,12000 MHz,DirectX: 12,150 W,49.88,2020-01-24,$269.99 USD (2020-10-20)
Radeon RX 5500 XT,49.7,8945,179.99,Desktop,PCIe 4.0 x8,8192,1607 MHz,14000 MHz,DirectX: 12,130 W,49.70,2019-12-12,$179.99 USD (2020-09-25)
GeForce RTX 2060,46.9,14072,299.99,Desktop,PCIe 3.0 x16,6144,1365 MHz,14000 (1750x8) MHz,DirectX: 12,160 W,46.91,2019-01-15,$299.99 USD (2020-10-25)
Radeon,46.9,1969,41.99,"AMD Radeon(TM) Graphics, Radeon Graphics",NA,NA,NA,NA,NA,NA,425,46.89,$41.99 USD (2020-10-14)
Radeon RX 5700,46.7,14475,309.99,Desktop,PCIe 4.0 x16,8192,1465 MHz,14000 MHz,DirectX: 12,NA,46.70,2019-07-01,$309.99 USD (2020-08-01)
Radeon RX 570,46.5,6967,149.99,Desktop,PCIe 3.0 x16,8192,1168 MHz,1750 MHz,DirectX: 12.0,150 W,46.45,2017-04-25,$149.99 USD (2020-10-25)
Radeon RX 5700 XT,46.4,16687,359.99,Desktop,PCIe 4.0 x16,8192,1605 MHz,14000 MHz,DirectX: 12,NA,46.36,2019-07-08,$359.99 USD (2020-10-12)
GeForce GTX 1660 Ti,45.8,12349,269.49,Desktop,PCIe 3.0 x16,6144,1500 MHz,12000 MHz,DirectX: 12.0,120 W,45.82,2019-02-06,$269.49 USD (2020-10-23)
GeForce GTX 1050 Ti,45.6,6389,139.99,Desktop,PCI-E 3.0 x16,4096,1290 MHz,1752 MHz,DirectX: 12.0,75 W,45.64,2016-10-27,$139.99 USD (2020-10-22)
GeForce RTX 2060 SUPER,39.4,16353,414.98,Desktop,PCIe 3.0 x16,8192,1407 MHz,14000 (1750x8) MHz,DirectX: 12,175 W,39.41,2019-07-12,$414.98 USD (2020-10-20)
GeForce GTX 1080,39.0,14821,379.99,Desktop,PCIe 3.0 x16,8192,1607 MHz,2500 MHz,DirectX: 12,180 W,39.01,2016-05-14,$379.99 USD (2020-09-23)
GeForce RTX 2070,38.6,16196,419.99,Desktop,PCIe 3.0 x16,8192,1410 MHz,14000 (1750x8) MHz,DirectX: 12,175 W,38.56,2018-10-18,$419.99 USD (2020-10-15)
Radeon RX 550,37.2,2415,64.99,Desktop,PCIe 3.0 x8,4096,1100 MHz,1750 MHz,DirectX: 12.0,50 W,37.17,2017-06-17,$64.99 USD (2020-10-22)
GeForce RTX 2070 SUPER,34.5,18128,524.99,Desktop,PCIe 3.0 x16,8192,1605 MHz,14000 (1750x8) MHz,DirectX: 12,215 W,34.53,2019-07-11,$524.99 USD (2020-10-25)
GeForce GTX 1050,34.0,5427,159.45,Desktop,PCI-E 3.0 x16,2048,1354 MHz,1752 MHz,DirectX: 12,75 W,34.04,2016-10-27,$159.45 USD (2020-10-17)
GeForce GT 1030,32.8,2620,79.99,Desktop,PCIe 3.0 x4,2048,1227 MHz,1250 MHz,DirectX: 12.0,30 W,32.76,2017-05-25,$79.99 USD (2020-10-22)
GeForce GTX 1070,29.6,13319,449.99,Desktop,PCIe 3.0 x16,8192,1506 MHz,2002 MHz,DirectX: 12.0,150 W,29.60,2016-06-11,$449.99 USD (2020-10-21)
Radeon RX 560,28.0,3642,129.99,Desktop,PCIe 3.0 x8,4096,1175 MHz,1750 MHz,DirectX: 12.0,80 W,28.02,2017-03-20,$129.99 USD (2020-08-24)
Quadro 6000,27.9,2787,99.99,Workstation,PCIe 2.0 x16,6144,574 MHz,3000 MHz,DirectX: 11,204 W,27.88,2010-10-19,$99.99 USD (2020-10-25)
GeForce RTX 2080 SUPER,26.9,19336,719.99,Desktop,PCIe 3.0 x16,8192,1650 MHz,15500 MHz,DirectX: 12,250 W,26.86,2019-07-26,$719.99 USD (2020-10-25)
Radeon RX Vega 56,25.6,13335,519.99,Desktop,PCIe 3.0 x16,8192,1471 MHz,1600 MHz,DirectX: 12,210 W,25.64,2017-09-23,$519.99 USD (2020-10-23)
Quadro P2200,24.1,9118,378.66,NVIDIA Quadro P2200,NA,NA,NA,NA,NA,NA,93,24.08,$378.66 USD (2020-10-25)
Radeon Pro W5500,22.9,9377,408.99,Desktop,PCIe 4.0 x8,8192,1187 MHz,14000 MHz,DirectX: 12,125 W,22.93,2020-02-13,$408.99 USD (2020-08-12)
Quadro P620,22.0,3679,167.25,Workstation,PCI Express 3.0 x16,2048,1266 MHz,1003 MHz,DirectX: 12.0,40 W,22.00,2018-06-30,$167.25 USD (2020-10-25)
GeForce RTX 2080 Ti,21.6,21550,999.99,Desktop,PCIe 3.0 x16,11264,1350 MHz,14000 (1750x8) MHz,DirectX: 12,250 W,21.55,2018-09-21,$999.99 USD (2020-10-23)
Radeon Pro W5700,18.8,15031,799.99,Desktop,PCIe 4.0 x16,8192,1243 MHz,14000 MHz,DirectX: 12,205 W,18.79,2020-01-17,$799.99 USD (2020-01-18)
